year,Mgmt_area,whole_mt,data_source
1907,NSEI,33.8394031731632,Historical (Carlile et al. 2002)
1908,NSEI,18.71966984134184,Historical (Carlile et al. 2002)
1909,NSEI,31.679441269265276,Historical (Carlile et al. 2002)
1910,NSEI,82.79853966454,Historical (Carlile et al. 2002)
1911,NSEI,80.6385777878576,Historical (Carlile et al. 2002)
1912,NSEI,12.23978412511216,Historical (Carlile et al. 2002)
1913,NSEI,40.31928888939288,Historical (Carlile et al. 2002)
1914,NSEI,64.0788698549496,Historical (Carlile et al. 2002)
1915,NSEI,109.4380698549496,Historical (Carlile et al. 2002)
1916,NSEI,239.75577144153118,Historical (Carlile et al. 2002)
1917,NSEI,759.5866033546,Historical (Carlile et al. 2002)
1918,NSEI,976.302780779584,Historical (Carlile et al. 2002)
1919,NSEI,366.47353649137676,Historical (Carlile et al. 2002)
1920,NSEI,421.1925714415312,Historical (Carlile et al. 2002)
1921,NSEI,282.9550095194896,Historical (Carlile et al. 2002)
1922,NSEI,35.279377778785765,Historical (Carlile et al. 2002)
1923,NSEI,611.989206255608,Historical (Carlile et al. 2002)
1924,NSEI,163.4371174523976,Historical (Carlile et al. 2002)
1925,NSEI,772.5463745239759,Historical (Carlile et al. 2002)
1926,NSEI,494.63127597448,Historical (Carlile et al. 2002)
1927,NSEI,979.90271731632,Historical (Carlile et al. 2002)
1928,NSEI,192.9565968268368,Historical (Carlile et al. 2002)
1929,NSEI,340.55399365367356,Historical (Carlile et al. 2002)
1930,NSEI,325.43426033546,Historical (Carlile et al. 2002)
1931,NSEI,200.8764571622968,Historical (Carlile et al. 2002)
1932,NSEI,60.781328,Historical (Carlile et al. 2002)
1933,NSEI,74.15869206709199,Historical (Carlile et al. 2002)
1934,NSEI,132.011601312,Historical (Carlile et al. 2002)
1935,NSEI,320.77663366400003,Historical (Carlile et al. 2002)
1936,NSEI,455.677616016,Historical (Carlile et al. 2002)
1937,NSEI,975.970319616,Historical (Carlile et al. 2002)
1938,NSEI,391.45443192,Historical (Carlile et al. 2002)
1939,NSEI,804.87178848,Historical (Carlile et al. 2002)
1940,NSEI,1075.71157168,Historical (Carlile et al. 2002)
1941,NSEI,1316.606571816,Historical (Carlile et al. 2002)
1942,NSEI,2947.6222528,Historical (Carlile et al. 2002)
1943,NSEI,2375.06214304,Historical (Carlile et al. 2002)
1944,NSEI,2184.05455184,Historical (Carlile et al. 2002)
1945,NSEI,1992.460012592,Historical (Carlile et al. 2002)
1946,NSEI,1530.013896752,Historical (Carlile et al. 2002)
1947,NSEI,2968.939262432,Historical (Carlile et al. 2002)
1948,NSEI,658.695416192,Historical (Carlile et al. 2002)
1949,NSEI,670.761870576,Historical (Carlile et al. 2002)
1950,NSEI,197.96342452,Historical (Carlile et al. 2002)
1951,NSEI,801.84179392,Historical (Carlile et al. 2002)
1952,NSEI,490.9679808,Historical (Carlile et al. 2002)
1953,NSEI,1271.02375096,Historical (Carlile et al. 2002)
1954,NSEI,752.839342976,Historical (Carlile et al. 2002)
1955,NSEI,733.4278733360001,Historical (Carlile et al. 2002)
1956,NSEI,688.530429992,Historical (Carlile et al. 2002)
1957,NSEI,804.739339616,Historical (Carlile et al. 2002)
1958,NSEI,363.480506096,Historical (Carlile et al. 2002)
1959,NSEI,536.412909688,Historical (Carlile et al. 2002)
1960,NSEI,1055.7800193494961,Historical (Carlile et al. 2002)
1961,NSEI,494.667275757152,Historical (Carlile et al. 2002)
1962,NSEI,379.21731173163204,Historical (Carlile et al. 2002)
1963,NSEI,319.199890265816,Historical (Carlile et al. 2002)
1964,NSEI,319.81043952204163,Historical (Carlile et al. 2002)
1965,NSEI,884.9932714785759,Historical (Carlile et al. 2002)
