year,Mgmt_area,whole_mt,data_source
1993,NSEI,2646.012149096,Gross Earnings File
1994,NSEI,2151.453534024,Gross Earnings File
1995,NSEI,2084.915669952,Gross Earnings File
1996,NSEI,2146.897202384,Gross Earnings File
1997,NSEI,2178.760679608,Gross Earnings File
1998,NSEI,2163.474175616,Gross Earnings File
1999,NSEI,1407.314085608,Gross Earnings File
2e3,NSEI,1440.487082936,Gross Earnings File
2001,NSEI,1025.129713392,Gross Earnings File
2002,NSEI,958.576427192,Gross Earnings File
2003,NSEI,959.783435504,Gross Earnings File
2004,NSEI,1057.131536176,Gross Earnings File
2005,NSEI,978.64061572,Gross Earnings File
2006,NSEI,971.010744688,Gross Earnings File
2007,NSEI,732.894902736,Gross Earnings File
2008,NSEI,741.5775608,Gross Earnings File
2009,NSEI,540.784629384,Gross Earnings File
2010,NSEI,512.92863748,Gross Earnings File
2011,NSEI,427.33582708,Gross Earnings File
2012,NSEI,481.434384144,Gross Earnings File
2013,NSEI,471.104279936,Gross Earnings File
2014,NSEI,384.363428184,Gross Earnings File
2015,NSEI,383.470759128,Gross Earnings File
2016,NSEI,316.085131608,Gross Earnings File
2017,NSEI,337.686997016,Gross Earnings File
2018,NSEI,396.797292088,Gross Earnings File
1975,SSEI,255.181333768,Gross Earnings File
1976,SSEI,52.677453328,Gross Earnings File
1977,SSEI,35.675917984,Gross Earnings File
1978,SSEI,97.127201368,Gross Earnings File
1979,SSEI,102.17613392,Gross Earnings File
1980,SSEI,20.106826176,Gross Earnings File
1981,SSEI,24.281686944,Gross Earnings File
1982,SSEI,126.65649416,Gross Earnings File
1983,SSEI,32.369685896,Gross Earnings File
1984,SSEI,90.982844136,Gross Earnings File
1985,SSEI,280.987997016,Gross Earnings File
1986,SSEI,358.902855632,Gross Earnings File
1987,SSEI,240.23819892,Gross Earnings File
1988,SSEI,348.341419504,Gross Earnings File
1989,SSEI,443.422920952,Gross Earnings File
1990,SSEI,351.106062744,Gross Earnings File
1991,SSEI,331.324915624,Gross Earnings File
1992,SSEI,435.333107632,Gross Earnings File
1993,SSEI,396.107378656,Gross Earnings File
1994,SSEI,408.369331192,Gross Earnings File
1995,SSEI,313.049240352,Gross Earnings File
1996,SSEI,248.782965016,Gross Earnings File
1997,SSEI,344.987106664,Gross Earnings File
1998,SSEI,276.266104296,Gross Earnings File
1999,SSEI,315.529935,Gross Earnings File
2e3,SSEI,286.345372128,Gross Earnings File
2001,SSEI,308.374974792,Gross Earnings File
2002,SSEI,311.56780888000003,Gross Earnings File
2003,SSEI,316.433036672,Gross Earnings File
2004,SSEI,314.456736328,Gross Earnings File
2005,SSEI,291.266391736,Gross Earnings File
2006,SSEI,302.48462908,Gross Earnings File
2007,SSEI,298.928014208,Gross Earnings File
2008,SSEI,298.132867432,Gross Earnings File
2009,SSEI,284.446182424,Gross Earnings File
2010,SSEI,267.874652296,Gross Earnings File
2011,SSEI,263.619052152,Gross Earnings File
2012,SSEI,255.150489512,Gross Earnings File
2013,SSEI,243.026428944,Gross Earnings File
2014,SSEI,237.88405644,Gross Earnings File
2015,SSEI,243.92590188,Gross Earnings File
2016,SSEI,229.080289312,Gross Earnings File
2017,SSEI,244.666164024,Gross Earnings File
2018,SSEI,275.39384688,Gross Earnings File
