year,Gear,Source,Mgmt_area,Spp_cde,length,weight,age,Sex,Maturity
1998,Longline,Survey,SSEI,710,65,2.3000000000000003,9,Female,1
1998,Longline,Survey,SSEI,710,52,1.1,6,Male,0
1998,Longline,Survey,SSEI,710,48,0.8,5,Male,0
1996,Longline,Survey,SSEI,710,61,NA,NA,NA,NA
2007,Longline,Survey,SSEI,710,47,1,2,NA,0
1996,Longline,Survey,SSEI,710,68,NA,NA,NA,NA
2004,Longline,Survey,SSEI,710,58,2,7,Male,1
1999,Longline,Survey,SSEI,710,54,1.7,4,Male,0
1999,Longline,Survey,SSEI,710,46,1,2,Female,0
2002,Longline,Survey,SSEI,710,58,1.9000000000000001,4,Female,0
2002,Longline,Survey,SSEI,710,43,0.7000000000000001,2,Male,0
2002,Longline,Survey,SSEI,710,58,1.7,6,Male,0
2011,Longline,Survey,SSEI,710,53,NA,NA,NA,NA
2011,Longline,Survey,SSEI,710,51,NA,NA,NA,NA
2011,Longline,Survey,SSEI,710,56,NA,NA,NA,NA
2002,Longline,Survey,SSEI,710,48,1,4,Female,0
2002,Longline,Survey,SSEI,710,52,1.3,6,Male,0
2002,Longline,Survey,SSEI,710,52,1.3,4,Male,0
2002,Longline,Survey,SSEI,710,57,1.7,9,Male,0
2002,Longline,Survey,SSEI,710,53,1.3,6,Female,0
2002,Longline,Survey,SSEI,710,53,1.4000000000000001,6,Male,0
2002,Longline,Survey,SSEI,710,60,2.1,9,Male,1
2002,Longline,Survey,SSEI,710,52,1.2,6,Male,0
1999,Longline,Survey,SSEI,710,57,1.8,4,Male,0
2010,Longline,Survey,SSEI,710,45,NA,NA,NA,NA
1999,Longline,Survey,SSEI,710,50,1.2,4,Female,0
1999,Longline,Survey,SSEI,710,49,1.1,3,Female,0
1999,Longline,Survey,SSEI,710,52,1.3,3,Female,0
1999,Longline,Survey,SSEI,710,45,0.8,2,Male,0
1999,Longline,Survey,SSEI,710,47,0.9,2,Male,0
1999,Longline,Survey,SSEI,710,45,0.8,3,Female,0
1999,Longline,Survey,SSEI,710,45,0.8,2,Female,0
1999,Longline,Survey,SSEI,710,53,1.4000000000000001,3,Female,0
1999,Longline,Survey,SSEI,710,46,1,2,Female,0
1999,Longline,Survey,SSEI,710,42.5,0.7000000000000001,2,Female,0
1999,Longline,Survey,SSEI,710,50,1.3,5,Female,0
1999,Longline,Survey,SSEI,710,51,1.3,3,Male,0
2009,Longline,Survey,SSEI,710,56,1.7,4,Female,0
2009,Longline,Survey,SSEI,710,53,1.5,5,Female,0
2006,Longline,Survey,SSEI,710,54,1.5,9,Male,0
2006,Longline,Survey,SSEI,710,59,2.1,11,Male,1
2006,Longline,Survey,SSEI,710,63,2.5,9,Female,1
2006,Longline,Survey,SSEI,710,62,2.2,8,Male,1
2006,Longline,Survey,SSEI,710,60,2.1,11,Male,1
2006,Longline,Survey,SSEI,710,62,2.6,11,Male,1
2007,Longline,Survey,SSEI,710,63,2.9,12,Female,1
1999,Longline,Survey,SSEI,710,48,1.1,2,Male,0
2006,Longline,Survey,SSEI,710,60,2.1,11,Female,0
2002,Longline,Survey,SSEI,710,55,1.5,4,Female,0
2002,Longline,Survey,SSEI,710,50,1.1,5,Male,0
2002,Longline,Survey,SSEI,710,45,0.8,4,Female,0
2002,Longline,Survey,SSEI,710,56,1.6,4,Female,0
2002,Longline,Survey,SSEI,710,52,1.2,4,Male,0
2002,Longline,Survey,SSEI,710,53,1.4000000000000001,4,Male,0
2002,Longline,Survey,SSEI,710,55,1.4000000000000001,4,Male,0
2002,Longline,Survey,SSEI,710,52,1.1,6,Male,0
2002,Longline,Survey,SSEI,710,56,1.7,6,Female,0
2002,Longline,Survey,SSEI,710,59,1.8,8,Male,0
2002,Longline,Survey,SSEI,710,63,2.3000000000000003,12,Male,1
2006,Longline,Survey,SSEI,710,62,NA,NA,NA,NA
2006,Longline,Survey,SSEI,710,47,NA,NA,NA,NA
2006,Longline,Survey,SSEI,710,57,NA,NA,NA,NA
2003,Longline,Survey,SSEI,710,58,1.9000000000000001,11,Male,0
2003,Longline,Survey,SSEI,710,57,1.7,6,Male,0
1999,Longline,Survey,SSEI,710,44,0.7000000000000001,2,Female,0
2001,Longline,Survey,SSEI,710,54,NA,5,Female,0
2001,Longline,Survey,SSEI,710,55,NA,8,Female,0
2001,Longline,Survey,SSEI,710,52,NA,8,Male,0
2006,Longline,Survey,SSEI,710,63,NA,NA,NA,NA
2009,Longline,Survey,SSEI,710,58,NA,NA,NA,NA
2009,Longline,Survey,SSEI,710,65,NA,NA,NA,NA
2009,Longline,Survey,SSEI,710,56,NA,NA,NA,NA
2006,Longline,Survey,SSEI,710,55,NA,NA,NA,NA
2006,Longline,Survey,SSEI,710,57,NA,NA,NA,NA
2012,Longline,Survey,SSEI,710,58,1.8,6,Male,0
2006,Longline,Survey,SSEI,710,61,NA,NA,NA,NA
2006,Longline,Survey,SSEI,710,58,NA,NA,NA,NA
2006,Longline,Survey,SSEI,710,57,1.7,12,Male,0
2006,Longline,Survey,SSEI,710,61,2.1,8,Male,1
2006,Longline,Survey,SSEI,710,62,2.6,6,Female,1
1999,Longline,Survey,SSEI,710,55,1.6,5,Male,0
1999,Longline,Survey,SSEI,710,56.5,1.9000000000000001,4,Male,0
2002,Longline,Survey,SSEI,710,51,1.2,4,Male,0
2002,Longline,Survey,SSEI,710,54,1.4000000000000001,4,Male,0
2002,Longline,Survey,SSEI,710,52,1.3,6,Female,0
2002,Longline,Survey,SSEI,710,54,1.4000000000000001,6,Female,0
2006,Longline,Survey,SSEI,710,51,1.1,3,Female,0
2012,Longline,Survey,SSEI,710,52,1.4000000000000001,4,Female,0
2012,Longline,Survey,SSEI,710,56,1.8,4,Female,0
2012,Longline,Survey,SSEI,710,51,1.4000000000000001,4,Male,0
2012,Longline,Survey,SSEI,710,65,2.4,NA,Male,1
2012,Longline,Survey,SSEI,710,70,3.5,17,Female,1
2012,Longline,Survey,SSEI,710,55,1.9000000000000001,6,Male,1
2012,Longline,Survey,SSEI,710,53,1.5,7,Male,1
2012,Longline,Survey,SSEI,710,54,1.5,4,Male,0
2012,Longline,Survey,SSEI,710,59,2,5,Female,0
2012,Longline,Survey,SSEI,710,61,2.2,5,Male,0
2012,Longline,Survey,SSEI,710,60,2.1,19,Male,1
2012,Longline,Survey,SSEI,710,56,1.6,6,Male,0
2012,Longline,Survey,SSEI,710,63,2.2,9,Female,0
2012,Longline,Survey,SSEI,710,53,1.4000000000000001,4,Female,0
2010,Longline,Survey,SSEI,710,43,0.7000000000000001,4,Male,0
1997,Longline,Survey,SSEI,710,51,1.3,4,Male,0
1997,Longline,Survey,SSEI,710,49,1.1,3,Male,0
1997,Longline,Survey,SSEI,710,53,1,4,Female,0
1997,Longline,Survey,SSEI,710,51,1,4,Male,0
2012,Longline,Survey,SSEI,710,72,NA,NA,NA,NA
2012,Longline,Survey,SSEI,710,61,NA,NA,NA,NA
2010,Longline,Survey,SSEI,710,49,NA,NA,NA,NA
2010,Longline,Survey,SSEI,710,49,NA,NA,NA,NA
2011,Longline,Survey,SSEI,710,54,1.5,6,Male,0
2011,Longline,Survey,SSEI,710,57,1.9000000000000001,4,Female,0
2011,Longline,Survey,SSEI,710,54,1.5,3,Male,0
2012,Longline,Survey,SSEI,710,59,NA,NA,NA,NA
2012,Longline,Survey,SSEI,710,63,NA,NA,NA,NA
2012,Longline,Survey,SSEI,710,58,NA,NA,NA,NA
2011,Longline,Survey,SSEI,710,54,1.6,5,Male,0
2011,Longline,Survey,SSEI,710,52,1.3,5,Male,0
2011,Longline,Survey,SSEI,710,54,1.6,10,Male,1
2011,Longline,Survey,SSEI,710,51,1.4000000000000001,3,Male,0
2011,Longline,Survey,SSEI,710,62,2.3000000000000003,20,Male,1
2011,Longline,Survey,SSEI,710,56,1.8,3,Female,0
2011,Longline,Survey,SSEI,710,56,1.8,6,Male,1
2011,Longline,Survey,SSEI,710,54,1.5,5,Female,0
2011,Longline,Survey,SSEI,710,60,2,4,Female,0
2011,Longline,Survey,SSEI,710,53,1.4000000000000001,4,Male,0
2011,Longline,Survey,SSEI,710,64,2.4,12,Male,1
2011,Longline,Survey,SSEI,710,56,1.8,3,Female,0
2011,Longline,Survey,SSEI,710,52,1.5,4,Female,0
2011,Longline,Survey,SSEI,710,51,1.3,3,Female,0
2011,Longline,Survey,SSEI,710,49,1.1,3,Male,0
2011,Longline,Survey,SSEI,710,62,2.5,8,Male,1
2011,Longline,Survey,SSEI,710,53,NA,NA,NA,NA
2012,Longline,Survey,SSEI,710,55,NA,NA,NA,NA
1998,Longline,Survey,SSEI,710,55,1.5,6,Female,0
2008,Longline,Survey,SSEI,710,51,NA,6,Male,0
2011,Longline,Survey,SSEI,710,57,NA,NA,NA,NA
2008,Longline,Survey,SSEI,710,64,NA,10,Male,1
2008,Longline,Survey,SSEI,710,58,NA,12,Male,1
2008,Longline,Survey,SSEI,710,58,NA,21,Male,0
2008,Longline,Survey,SSEI,710,62,NA,11,Male,1
2008,Longline,Survey,SSEI,710,47,NA,3,Male,0
2008,Longline,Survey,SSEI,710,49,NA,4,Male,0
2008,Longline,Survey,SSEI,710,61,NA,9,Male,1
2008,Longline,Survey,SSEI,710,64,NA,10,Female,1
2008,Longline,Survey,SSEI,710,65,NA,NA,NA,NA
2008,Longline,Survey,SSEI,710,53,NA,NA,NA,NA
2008,Longline,Survey,SSEI,710,68,NA,NA,NA,NA
2008,Longline,Survey,SSEI,710,61,NA,NA,NA,NA
2008,Longline,Survey,SSEI,710,45,NA,NA,NA,NA
2008,Longline,Survey,SSEI,710,58,NA,NA,NA,NA
2008,Longline,Survey,SSEI,710,56,NA,NA,NA,NA
2011,Longline,Survey,SSEI,710,51,NA,NA,NA,NA
2009,Longline,Survey,SSEI,710,58,2,23,Male,0
2009,Longline,Survey,SSEI,710,58,1.9000000000000001,10,Female,0
2009,Longline,Survey,SSEI,710,54,1.7,8,Male,0
2009,Longline,Survey,SSEI,710,48,1,4,Male,0
2009,Longline,Survey,SSEI,710,60,2.3000000000000003,18,Male,1
2009,Longline,Survey,SSEI,710,57,2,NA,Female,0
1999,Longline,Survey,SSEI,710,42.5,0.7000000000000001,2,Female,0
1999,Longline,Survey,SSEI,710,50,1.2,3,Female,0
1999,Longline,Survey,SSEI,710,49,1.1,2,Male,0
2002,Longline,Survey,SSEI,710,51,1.3,5,Male,0
2002,Longline,Survey,SSEI,710,61,2.2,6,Female,0
2009,Longline,Survey,SSEI,710,48,1.1,7,Male,0
2009,Longline,Survey,SSEI,710,58,2,8,Female,0
2009,Longline,Survey,SSEI,710,49,1.2,5,Male,0
2002,Longline,Survey,SSEI,710,45,0.8,3,Male,0
2002,Longline,Survey,SSEI,710,53,1.4000000000000001,9,Male,0
2009,Longline,Survey,SSEI,710,50,1.1,3,Male,0
2009,Longline,Survey,SSEI,710,51,1.2,4,Male,0
2009,Longline,Survey,SSEI,710,55,1.6,5,Female,0
2009,Longline,Survey,SSEI,710,52,1.4000000000000001,5,Female,0
2009,Longline,Survey,SSEI,710,49,1.3,4,Female,0
2009,Longline,Survey,SSEI,710,38,0.5,4,NA,0
2009,Longline,Survey,SSEI,710,50,1.1,3,Male,0
2009,Longline,Survey,SSEI,710,48,1,7,Male,0
2009,Longline,Survey,SSEI,710,66,NA,NA,NA,NA
2009,Longline,Survey,SSEI,710,49,NA,NA,NA,NA
2009,Longline,Survey,SSEI,710,54,NA,NA,NA,NA
2009,Longline,Survey,SSEI,710,61,NA,NA,NA,NA
2009,Longline,Survey,SSEI,710,53,NA,NA,NA,NA
2009,Longline,Survey,SSEI,710,51,NA,NA,NA,NA
2009,Longline,Survey,SSEI,710,53,NA,NA,NA,NA
2009,Longline,Survey,SSEI,710,58,NA,NA,NA,NA
2003,Longline,Survey,SSEI,710,49,1.1,4,Female,0
2003,Longline,Survey,SSEI,710,54,1.5,8,Male,0
2003,Longline,Survey,SSEI,710,55,1.7,7,Male,0
2009,Longline,Survey,SSEI,710,60,NA,NA,NA,NA
2009,Longline,Survey,SSEI,710,39,NA,NA,NA,NA
2006,Longline,Survey,SSEI,710,60,NA,NA,NA,NA
2012,Longline,Survey,SSEI,710,60,NA,NA,NA,NA
2012,Longline,Survey,SSEI,710,61,NA,NA,NA,NA
2012,Longline,Survey,SSEI,710,58,NA,NA,NA,NA
2007,Longline,Survey,SSEI,710,52,1.2,3,Female,0
2007,Longline,Survey,SSEI,710,59,2,7,Male,0
2012,Longline,Survey,SSEI,710,62,2.3000000000000003,6,Male,1
2012,Longline,Survey,SSEI,710,46,1,2,Female,0
2012,Longline,Survey,SSEI,710,70,3,17,Female,1
2012,Longline,Survey,SSEI,710,57,1.7,5,Male,0
2012,Longline,Survey,SSEI,710,62,2.6,13,Male,1
2012,Longline,Survey,SSEI,710,60,2.2,4,Female,0
2012,Longline,Survey,SSEI,710,61,2.1,7,Male,1
2012,Longline,Survey,SSEI,710,57,1.9000000000000001,5,Female,0
2012,Longline,Survey,SSEI,710,55,1.7,4,Male,0
2012,Longline,Survey,SSEI,710,63,2.6,9,Male,1
2012,Longline,Survey,SSEI,710,57,1.8,6,Male,0
2012,Longline,Survey,SSEI,710,56,1.5,8,Female,0
2009,Longline,Survey,SSEI,710,42,NA,NA,NA,NA
2009,Longline,Survey,SSEI,710,53,NA,NA,NA,NA
2009,Longline,Survey,SSEI,710,52,NA,NA,NA,NA
2009,Longline,Survey,SSEI,710,40,NA,NA,NA,NA
2009,Longline,Survey,SSEI,710,54,NA,NA,NA,NA
2009,Longline,Survey,SSEI,710,53,NA,NA,NA,NA
2008,Longline,Survey,SSEI,710,61,NA,13,Male,1
2008,Longline,Survey,SSEI,710,57,NA,15,Male,0
2012,Longline,Survey,SSEI,710,62,NA,NA,NA,NA
2008,Longline,Survey,SSEI,710,62,NA,10,Female,0
2008,Longline,Survey,SSEI,710,60,NA,9,Male,0
2e3,Longline,Survey,SSEI,710,53,1.4000000000000001,8,Male,0
2e3,Longline,Survey,SSEI,710,57,1.7,10,Male,1
2e3,Longline,Survey,SSEI,710,62,2.2,8,Female,0
2012,Longline,Survey,SSEI,710,55,1.8,6,Male,0
2012,Longline,Survey,SSEI,710,62,2.4,10,Male,1
2012,Longline,Survey,SSEI,710,53,1.4000000000000001,4,Male,0
2012,Longline,Survey,SSEI,710,53,1.5,5,Female,0
2012,Longline,Survey,SSEI,710,50,1.2,4,Male,0
2e3,Longline,Survey,SSEI,710,55,1.7,6,Male,0
2e3,Longline,Survey,SSEI,710,58,1.9000000000000001,6,Female,0
2012,Longline,Survey,SSEI,710,56,NA,NA,NA,NA
2012,Longline,Survey,SSEI,710,59,NA,NA,NA,NA
2e3,Longline,Survey,SSEI,710,84,6.1000000000000005,35,Female,1
2e3,Longline,Survey,SSEI,710,55,1.5,5,Female,0
2e3,Longline,Survey,SSEI,710,59,2,7,Male,0
2008,Longline,Survey,SSEI,710,53,NA,NA,NA,NA
2008,Longline,Survey,SSEI,710,45,NA,NA,NA,NA
2007,Longline,Survey,SSEI,710,47,1,3,NA,0
2012,Longline,Survey,SSEI,710,58,NA,NA,NA,NA
2012,Longline,Survey,SSEI,710,60,NA,NA,NA,NA
2012,Longline,Survey,SSEI,710,54,NA,NA,NA,NA
2012,Longline,Survey,SSEI,710,58,NA,NA,NA,NA
2012,Longline,Survey,SSEI,710,53,NA,NA,NA,NA
2009,Longline,Survey,SSEI,710,52,NA,NA,NA,NA
2012,Longline,Survey,SSEI,710,74,NA,NA,NA,NA
2012,Longline,Survey,SSEI,710,60,NA,NA,NA,NA
2012,Longline,Survey,SSEI,710,55,NA,NA,NA,NA
2012,Longline,Survey,SSEI,710,57,NA,NA,NA,NA
2012,Longline,Survey,SSEI,710,56,NA,NA,NA,NA
2012,Longline,Survey,SSEI,710,58,NA,NA,NA,NA
2012,Longline,Survey,SSEI,710,52,NA,NA,NA,NA
2012,Longline,Survey,SSEI,710,55,NA,NA,NA,NA
2012,Longline,Survey,SSEI,710,52,NA,NA,NA,NA
2012,Longline,Survey,SSEI,710,55,NA,NA,NA,NA
2012,Longline,Survey,SSEI,710,53,NA,NA,NA,NA
2008,Longline,Survey,SSEI,710,53,NA,4,Male,0
2007,Longline,Survey,SSEI,710,56,1.8,10,NA,0
2e3,Longline,Survey,SSEI,710,52,1.4000000000000001,6,Male,0
2e3,Longline,Survey,SSEI,710,63,2.2,7,Female,1
2007,Longline,Survey,SSEI,710,49,1.1,3,NA,0
1996,Longline,Survey,SSEI,710,57,1.7,NA,Male,0
1996,Longline,Survey,SSEI,710,55,1.6,6,Male,0
1996,Longline,Survey,SSEI,710,46,NA,NA,NA,NA
2e3,Longline,Survey,SSEI,710,49,1.1,5,Male,0
2e3,Longline,Survey,SSEI,710,58,1.7,4,Female,0
2e3,Longline,Survey,SSEI,710,47,1,4,Male,0
2e3,Longline,Survey,SSEI,710,57,1.9000000000000001,7,Male,0
2e3,Longline,Survey,SSEI,710,55,1.7,5,Female,0
2009,Longline,Survey,SSEI,710,56,NA,NA,NA,NA
2006,Longline,Survey,SSEI,710,55,NA,NA,NA,NA
2007,Longline,Survey,SSEI,710,57,1.8,7,Male,0
2007,Longline,Survey,SSEI,710,51,1.3,9,NA,0
2006,Longline,Survey,SSEI,710,56,NA,NA,NA,NA
2009,Longline,Survey,SSEI,710,55,1.6,9,Male,0
2007,Longline,Survey,SSEI,710,48,1,2,NA,0
2007,Longline,Survey,SSEI,710,58,2.3000000000000003,10,Female,0
1996,Longline,Survey,SSEI,710,49,NA,NA,NA,NA
2007,Longline,Survey,SSEI,710,49,1,5,NA,0
2009,Longline,Survey,SSEI,710,54,1.5,4,Female,0
2007,Longline,Survey,SSEI,710,47,1,4,NA,0
2007,Longline,Survey,SSEI,710,47,1,4,NA,0
2006,Longline,Survey,SSEI,710,59,NA,NA,NA,NA
2004,Longline,Survey,SSEI,710,56,1.7,4,Female,0
2006,Longline,Survey,SSEI,710,62,NA,NA,NA,NA
2006,Longline,Survey,SSEI,710,63,NA,NA,NA,NA
2007,Longline,Survey,SSEI,710,59,2.1,9,Male,0
2004,Longline,Survey,SSEI,710,60,2.1,8,Male,1
2004,Longline,Survey,SSEI,710,62,2.3000000000000003,12,Male,1
