year,Gear,Source,Mgmt_area,Spp_cde,length,weight,age,Sex,Maturity
2007,Longline,Survey,SSEI,710,55,NA,NA,NA,NA
1999,Longline,Survey,SSEI,710,52,1.6,3,Female,0
2007,Longline,Survey,SSEI,710,57,NA,NA,NA,NA
2007,Longline,Survey,SSEI,710,45,NA,NA,NA,NA
2007,Longline,Survey,SSEI,710,44,NA,NA,NA,NA
2007,Longline,Survey,SSEI,710,45,NA,NA,NA,NA
2003,Longline,Survey,SSEI,710,55,1.6,9,Male,0
2007,Longline,Survey,SSEI,710,60,NA,NA,NA,NA
2007,Longline,Survey,SSEI,710,52,NA,NA,NA,NA
2007,Longline,Survey,SSEI,710,54,1.4000000000000001,11,Female,0
2007,Longline,Survey,SSEI,710,60,NA,NA,NA,NA
1999,Longline,Survey,SSEI,710,42,0.8,2,Male,0
2007,Longline,Survey,SSEI,710,45,NA,NA,NA,NA
1999,Longline,Survey,SSEI,710,55,1.8,5,Male,0
2007,Longline,Survey,SSEI,710,53,NA,NA,NA,NA
2007,Longline,Survey,SSEI,710,59,2.3000000000000003,6,Female,0
2007,Longline,Survey,SSEI,710,49,NA,NA,NA,NA
2003,Longline,Survey,SSEI,710,55,1.7,10,Male,0
2007,Longline,Survey,SSEI,710,52,NA,NA,NA,NA
2007,Longline,Survey,SSEI,710,59,NA,NA,NA,NA
2011,Longline,Survey,SSEI,710,55,NA,NA,NA,NA
2011,Longline,Survey,SSEI,710,65,NA,NA,NA,NA
1999,Longline,Survey,SSEI,710,48,1.1,3,Male,0
2008,Longline,Survey,SSEI,710,69,NA,NA,NA,NA
2007,Longline,Survey,SSEI,710,50,NA,NA,NA,NA
2002,Longline,Survey,SSEI,710,50,1.1,5,Male,0
2007,Longline,Survey,SSEI,710,62,NA,NA,NA,NA
2007,Longline,Survey,SSEI,710,59,NA,NA,NA,NA
2003,Longline,Survey,SSEI,710,53,1.5,6,Male,0
2007,Longline,Survey,SSEI,710,59,NA,NA,NA,NA
2002,Longline,Survey,SSEI,710,48,1,5,Male,0
2003,Longline,Survey,SSEI,710,54,1.5,8,Male,0
1999,Longline,Survey,SSEI,710,53,1.4000000000000001,4,Male,0
1999,Longline,Survey,SSEI,710,59,2.1,4,Female,0
2011,Longline,Survey,SSEI,710,70,NA,NA,NA,NA
1999,Longline,Survey,SSEI,710,55,1.8,5,Male,0
2007,Longline,Survey,SSEI,710,59,2,9,Male,0
2004,Longline,Survey,SSEI,710,58,2,8,Female,0
2011,Longline,Survey,SSEI,710,49,NA,NA,NA,NA
2002,Longline,Survey,SSEI,710,66,2.9,19,Male,1
2004,Longline,Survey,SSEI,710,61,2.3000000000000003,13,Male,1
2004,Longline,Survey,SSEI,710,58,1.9000000000000001,5,Male,0
1998,Longline,Survey,SSEI,710,58,1.9000000000000001,7,Female,0
2007,Longline,Survey,SSEI,710,52,NA,NA,NA,NA
2007,Longline,Survey,SSEI,710,58,NA,NA,NA,NA
2007,Longline,Survey,SSEI,710,59,NA,NA,NA,NA
2007,Longline,Survey,SSEI,710,51,NA,NA,NA,NA
1999,Longline,Survey,SSEI,710,46,0.8,2,Female,0
1999,Longline,Survey,SSEI,710,46,0.9,2,Female,0
2011,Longline,Survey,SSEI,710,56,NA,NA,NA,NA
1997,Longline,Survey,SSEI,710,56,1.8,7,Male,0
2004,Longline,Survey,SSEI,710,50,1.3,5,Male,0
2011,Longline,Survey,SSEI,710,54,NA,NA,NA,NA
2007,Longline,Survey,SSEI,710,57,NA,NA,NA,NA
2011,Longline,Survey,SSEI,710,75,NA,NA,NA,NA
1997,Longline,Survey,SSEI,710,45,0.8,3,Female,0
2004,Longline,Survey,SSEI,710,58,1.9000000000000001,13,Male,1
2004,Longline,Survey,SSEI,710,57,1.8,8,Male,0
1998,Longline,Survey,SSEI,710,56,1.6,5,Male,0
2003,Longline,Survey,SSEI,710,54,1.5,7,Male,0
2011,Longline,Survey,SSEI,710,76,NA,NA,NA,NA
2011,Longline,Survey,SSEI,710,58,NA,NA,NA,NA
2008,Longline,Survey,SSEI,710,52,NA,NA,NA,NA
2006,Longline,Survey,SSEI,710,62,2.6,12,Male,0
1997,Longline,Survey,SSEI,710,63,2.7,10,Female,0
2004,Longline,Survey,SSEI,710,58,1.9000000000000001,9,Male,1
2004,Longline,Survey,SSEI,710,65,2.6,14,Male,1
2012,Longline,Survey,SSEI,710,57,NA,NA,NA,NA
2004,Longline,Survey,SSEI,710,55,1.7,8,Male,0
2011,Longline,Survey,SSEI,710,52,NA,NA,NA,NA
2011,Longline,Survey,SSEI,710,54,NA,NA,NA,NA
2008,Longline,Survey,SSEI,710,69,NA,NA,NA,NA
2008,Longline,Survey,SSEI,710,59,NA,NA,NA,NA
2008,Longline,Survey,SSEI,710,57,NA,NA,NA,NA
2007,Longline,Survey,SSEI,710,52,NA,NA,NA,NA
2007,Longline,Survey,SSEI,710,48,1.1,7,NA,0
2004,Longline,Survey,SSEI,710,59,2.1,10,Male,1
1999,Longline,Survey,SSEI,710,47,1,3,Female,0
1997,Longline,Survey,SSEI,710,55,1.6,7,Male,0
1997,Longline,Survey,SSEI,710,52,1.3,4,Female,0
2011,Longline,Survey,SSEI,710,53,NA,NA,NA,NA
2006,Longline,Survey,SSEI,710,59,NA,NA,NA,NA
2006,Longline,Survey,SSEI,710,57,NA,NA,NA,NA
1998,Longline,Survey,SSEI,710,54,1.4000000000000001,7,Male,0
1998,Longline,Survey,SSEI,710,52,1.3,5,Female,0
2006,Longline,Survey,SSEI,710,65,NA,NA,NA,NA
1998,Longline,Survey,SSEI,710,48,1,5,Male,0
1999,Longline,Survey,SSEI,710,44,0.9,2,Female,0
2003,Longline,Survey,SSEI,710,53,1.4000000000000001,6,Male,0
2003,Longline,Survey,SSEI,710,59,1.8,10,Female,0
2011,Longline,Survey,SSEI,710,56,NA,NA,NA,NA
1999,Longline,Survey,SSEI,710,55,1.4000000000000001,4,Female,0
1999,Longline,Survey,SSEI,710,47,0.8,2,Female,0
2012,Longline,Survey,SSEI,710,61,NA,NA,NA,NA
1997,Longline,Survey,SSEI,710,52,1.3,NA,Female,0
2006,Longline,Survey,SSEI,710,48,1,3,Male,0
2006,Longline,Survey,SSEI,710,55,1.7,9,Male,0
2006,Longline,Survey,SSEI,710,61,2.2,8,Male,0
2006,Longline,Survey,SSEI,710,59,2,20,Male,1
2006,Longline,Survey,SSEI,710,59,1.8,11,Male,0
2006,Longline,Survey,SSEI,710,55,NA,NA,NA,NA
2008,Longline,Survey,SSEI,710,62,NA,NA,NA,NA
2006,Longline,Survey,SSEI,710,55,1.6,7,Male,0
2006,Longline,Survey,SSEI,710,59,NA,NA,NA,NA
2011,Longline,Survey,SSEI,710,53,NA,NA,NA,NA
2011,Longline,Survey,SSEI,710,55,NA,NA,NA,NA
2006,Longline,Survey,SSEI,710,62,2.5,14,Male,1
2004,Longline,Survey,SSEI,710,60,2.1,7,Male,0
1996,Longline,Survey,SSEI,710,55,NA,NA,NA,NA
1996,Longline,Survey,SSEI,710,58,NA,NA,NA,NA
1996,Longline,Survey,SSEI,710,58,NA,NA,NA,NA
2004,Longline,Survey,SSEI,710,54,1.6,5,Female,0
2004,Longline,Survey,SSEI,710,55,1.7,6,Male,0
2006,Longline,Survey,SSEI,710,59,2.2,13,Male,1
1999,Longline,Survey,SSEI,710,54,1.7,6,Female,0
2007,Longline,Survey,SSEI,710,54,1.6,6,NA,0
2007,Longline,Survey,SSEI,710,56,1.7,7,Female,0
2006,Longline,Survey,SSEI,710,59,1.9000000000000001,12,Male,1
2006,Longline,Survey,SSEI,710,61,2.3000000000000003,8,Male,1
2006,Longline,Survey,SSEI,710,66,2.7,10,Female,0
2006,Longline,Survey,SSEI,710,58,NA,NA,NA,NA
2009,Longline,Survey,SSEI,710,52,NA,NA,NA,NA
2009,Longline,Survey,SSEI,710,55,NA,NA,NA,NA
2006,Longline,Survey,SSEI,710,60,NA,NA,NA,NA
2006,Longline,Survey,SSEI,710,61,NA,NA,NA,NA
1999,Longline,Survey,SSEI,710,52,1.3,4,Male,0
2006,Longline,Survey,SSEI,710,55,NA,NA,NA,NA
2001,Longline,Survey,SSEI,710,54,NA,8,Female,0
2001,Longline,Survey,SSEI,710,53,NA,5,Male,0
2010,Longline,Survey,SSEI,710,43,0.7000000000000001,3,Female,0
2010,Longline,Survey,SSEI,710,45,1,3,Male,0
2010,Longline,Survey,SSEI,710,49,1.1,4,Female,0
2010,Longline,Survey,SSEI,710,47,1,2,Female,0
2010,Longline,Survey,SSEI,710,50,1.4000000000000001,5,Female,0
2006,Longline,Survey,SSEI,710,56,1.6,8,Male,0
2010,Longline,Survey,SSEI,710,57,NA,NA,NA,NA
2010,Longline,Survey,SSEI,710,55,NA,NA,NA,NA
1997,Longline,Survey,SSEI,710,63,2.5,7,Female,0
2006,Longline,Survey,SSEI,710,65,NA,NA,NA,NA
2006,Longline,Survey,SSEI,710,59,NA,NA,NA,NA
2006,Longline,Survey,SSEI,710,61,NA,NA,NA,NA
2006,Longline,Survey,SSEI,710,62,2.3000000000000003,12,Male,1
2011,Longline,Survey,SSEI,710,55,1.5,4,Female,0
2011,Longline,Survey,SSEI,710,59,2,4,Female,0
2006,Longline,Survey,SSEI,710,58,1.9000000000000001,7,Male,0
2006,Longline,Survey,SSEI,710,61,2.2,7,Female,0
2009,Longline,Survey,SSEI,710,62,2.4,19,Male,1
2004,Longline,Survey,SSEI,710,59,2,6,Male,0
2009,Longline,Survey,SSEI,710,54,1.5,7,Male,0
2009,Longline,Survey,SSEI,710,54,1.5,6,Female,0
