year,Gear,Source,Mgmt_area,Spp_cde,length,weight,age,Sex,Maturity
1998,Pot,Fishery,SSEI,710,59,1.7,NA,NA,NA
1998,Pot,Fishery,SSEI,710,51,1.2,NA,NA,NA
1998,Pot,Fishery,SSEI,710,58,2,NA,NA,NA
1998,Pot,Fishery,SSEI,710,56,1.5,NA,NA,NA
1998,Pot,Fishery,SSEI,710,64,3.4,NA,NA,NA
1998,Pot,Fishery,SSEI,710,54,1.4000000000000001,NA,NA,NA
1998,Pot,Fishery,SSEI,710,58,2.2,NA,NA,NA
1998,Pot,Fishery,SSEI,710,65,2.7,NA,NA,NA
1998,Pot,Fishery,SSEI,710,52,1.2,NA,NA,NA
1998,Pot,Fishery,SSEI,710,56,1.6,NA,NA,NA
1998,Pot,Fishery,SSEI,710,57,1.6,NA,NA,NA
1998,Pot,Fishery,SSEI,710,58,1.8,NA,NA,NA
1998,Pot,Fishery,SSEI,710,55,1.5,NA,NA,NA
1998,Pot,Fishery,SSEI,710,58,1.9000000000000001,NA,NA,NA
1998,Pot,Fishery,SSEI,710,50,1.2,NA,NA,NA
1998,Pot,Fishery,SSEI,710,60,1.9000000000000001,NA,NA,NA
1998,Pot,Fishery,SSEI,710,63,2.5,NA,NA,NA
1998,Pot,Fishery,SSEI,710,63,2.5,NA,NA,NA
1998,Pot,Fishery,SSEI,710,59,1.8,NA,NA,NA
1998,Pot,Fishery,SSEI,710,62,2.3000000000000003,NA,NA,NA
1998,Pot,Fishery,SSEI,710,61,2.1,NA,NA,NA
1998,Pot,Fishery,SSEI,710,54,1.6,NA,NA,NA
1998,Pot,Fishery,SSEI,710,61,2,NA,NA,NA
1998,Pot,Fishery,SSEI,710,60,2.1,NA,NA,NA
1998,Pot,Fishery,SSEI,710,52,1.2,NA,NA,NA
1998,Pot,Fishery,SSEI,710,62,2.5,NA,NA,NA
1998,Pot,Fishery,SSEI,710,60,2.3000000000000003,NA,NA,NA
1998,Pot,Fishery,SSEI,710,59,2.1,NA,NA,NA
1998,Pot,Fishery,SSEI,710,57,1.6,NA,NA,NA
1998,Pot,Fishery,SSEI,710,50,1.4000000000000001,NA,NA,NA
1998,Pot,Fishery,SSEI,710,57,1.7,NA,NA,NA
1998,Pot,Fishery,SSEI,710,56,1.7,NA,NA,NA
1998,Pot,Fishery,SSEI,710,56,1.5,NA,NA,NA
1998,Pot,Fishery,SSEI,710,50,1.1,NA,NA,NA
1998,Pot,Fishery,SSEI,710,53,1.3,NA,NA,NA
1998,Pot,Fishery,SSEI,710,55,1.7,NA,NA,NA
1998,Pot,Fishery,SSEI,710,58,1.6,NA,NA,NA
1998,Pot,Fishery,SSEI,710,65,2.5,NA,NA,NA
1998,Pot,Fishery,SSEI,710,59,1.9000000000000001,NA,NA,NA
1998,Pot,Fishery,SSEI,710,56,1.4000000000000001,NA,NA,NA
1998,Pot,Fishery,SSEI,710,61,2,NA,NA,NA
1998,Pot,Fishery,SSEI,710,60,2.1,NA,NA,NA
1998,Pot,Fishery,SSEI,710,58,1.9000000000000001,NA,NA,NA
1998,Pot,Fishery,SSEI,710,50,1,NA,NA,NA
1998,Pot,Fishery,SSEI,710,61,1.9000000000000001,NA,NA,NA
1998,Pot,Fishery,SSEI,710,64,2.4,NA,NA,NA
1998,Pot,Fishery,SSEI,710,56,1.4000000000000001,NA,NA,NA
1998,Pot,Fishery,SSEI,710,50,1.2,NA,NA,NA
1998,Pot,Fishery,SSEI,710,59,1.9000000000000001,NA,NA,NA
1998,Pot,Fishery,SSEI,710,65,2.6,NA,NA,NA
1998,Pot,Fishery,SSEI,710,60,1.8,NA,NA,NA
1998,Pot,Fishery,SSEI,710,61,2,NA,NA,NA
1998,Pot,Fishery,SSEI,710,52,1.2,NA,NA,NA
1998,Pot,Fishery,SSEI,710,57,1.7,NA,NA,NA
1998,Pot,Fishery,SSEI,710,56,1.6,NA,NA,NA
1998,Pot,Fishery,SSEI,710,56,1.5,NA,NA,NA
1998,Pot,Fishery,SSEI,710,58,1.8,NA,NA,NA
1998,Pot,Fishery,SSEI,710,56,1.4000000000000001,NA,NA,NA
1998,Pot,Fishery,SSEI,710,55,1.5,NA,NA,NA
1998,Pot,Fishery,SSEI,710,53,1.4000000000000001,NA,NA,NA
1998,Pot,Fishery,SSEI,710,66,3.1,NA,NA,NA
1998,Pot,Fishery,SSEI,710,56,1.4000000000000001,NA,NA,NA
1998,Pot,Fishery,SSEI,710,59,1.8,NA,NA,NA
1998,Pot,Fishery,SSEI,710,56,1.7,NA,NA,NA
1998,Pot,Fishery,SSEI,710,59,1.9000000000000001,NA,NA,NA
1998,Pot,Fishery,SSEI,710,51,1.1,NA,NA,NA
1998,Pot,Fishery,SSEI,710,58,1.9000000000000001,NA,NA,NA
1998,Pot,Fishery,SSEI,710,50,1.1,NA,NA,NA
1998,Pot,Fishery,SSEI,710,56,1.4000000000000001,NA,NA,NA
1998,Pot,Fishery,SSEI,710,60,2.4,NA,NA,NA
1998,Pot,Fishery,SSEI,710,55,1.5,NA,NA,NA
1998,Pot,Fishery,SSEI,710,61,2.2,NA,NA,NA
1998,Pot,Fishery,SSEI,710,55,1.5,NA,NA,NA
1998,Pot,Fishery,SSEI,710,50,1.1,NA,NA,NA
1998,Pot,Fishery,SSEI,710,55,1.7,NA,NA,NA
1998,Pot,Fishery,SSEI,710,77,4.2,NA,NA,NA
1998,Pot,Fishery,SSEI,710,53,1.3,NA,NA,NA
1998,Pot,Fishery,SSEI,710,80,4.6000000000000005,NA,NA,NA
1998,Pot,Fishery,SSEI,710,55,1.6,NA,NA,NA
1998,Pot,Fishery,SSEI,710,68,2.8000000000000003,NA,NA,NA
1998,Pot,Fishery,SSEI,710,64,2.4,NA,NA,NA
1998,Pot,Fishery,SSEI,710,58,1.7,NA,NA,NA
1998,Pot,Fishery,SSEI,710,66,2.4,NA,NA,NA
1998,Pot,Fishery,SSEI,710,53,1.4000000000000001,NA,NA,NA
1998,Pot,Fishery,SSEI,710,62,2.3000000000000003,NA,NA,NA
1998,Pot,Fishery,SSEI,710,67,3.2,NA,NA,NA
1998,Pot,Fishery,SSEI,710,57,1.7,NA,NA,NA
1998,Pot,Fishery,SSEI,710,57,1.6,NA,NA,NA
1998,Pot,Fishery,SSEI,710,56,1.5,NA,NA,NA
1998,Pot,Fishery,SSEI,710,58,1.7,NA,NA,NA
1998,Pot,Fishery,SSEI,710,56,1.6,NA,NA,NA
1998,Pot,Fishery,SSEI,710,65,2.7,NA,NA,NA
1998,Pot,Fishery,SSEI,710,61,2.1,NA,NA,NA
1998,Pot,Fishery,SSEI,710,72,4.1,NA,NA,NA
