STAT_AREA1,STAT_AREA,WATERS,START_DATE,END_DATE,G_MGT_AREA_DISTRICT,SJL_WATERS,UPDATED_WATERS,SJL_AREA_NOTES
28210,028210,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,East Aleutians Shellfish 1967
28330,028330,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,East Aleutians Shellfish 1967
28361,028361,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,STATE,STATE,East Aleutians Shellfish 1967
28470,028470,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,Aleutians (?)
28626,028626,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,East Aleutians Shellfish 1967
28627,028627,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,East Aleutians Shellfish 1967
28638,028638,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,East Aleutians Shellfish 1967
28641,028641,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,East Aleutians Shellfish 1967
28642,028642,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,East Aleutians Shellfish 1967
28643,028643,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,East Aleutians Shellfish 1967
28644,028644,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,East Aleutians Shellfish 1967
28648,028648,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,Aleuatians (?)
28652,028652,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,Aleuatians (?)
29121,029121,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,Kodiak Shellfish 1979
29122,029122,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,Kodiak Shellfish 1979
29131,029131,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,Kodiak Shellfish 1979
29132,029132,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,Kodiak Shellfish 1979
29142,029142,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,Kodiak Shellfish 1979
29151,029151,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,Kodiak Shellfish 1979
29152,029152,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,Kodiak Shellfish 1979
29183,029183,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,Kodiak Shellfish 1979
30215,030215,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,STATE,STATE,Salmon Stat Area (Aleutians)
30216,030216,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,STATE,STATE,East Aleutians Shellfish 1967
30217,030217,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,STATE,STATE,East Aleutians Shellfish 1967
30219,030219,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,STATE,STATE,East Aleutians Shellfish 1967
30221,030221,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,STATE,STATE,East Aleutians Shellfish 1967
30222,030222,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,STATE,STATE,East Aleutians Shellfish 1967
30223,030223,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,STATE,STATE,East Aleutians Shellfish 1967
30225,030225,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,STATE,STATE,East Aleutians Shellfish 1967
30230,030230,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,STATE,STATE,East Aleutians Shellfish 1967
30231,030231,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,STATE,STATE,East Aleutians Shellfish 1967
30251,030251,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,STATE,STATE,East Aleutians Shellfish 1967
30310,030310,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,STATE,STATE,East Aleutians Shellfish 1967
30511,030511,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,STATE,STATE,East Aleutians Shellfish 1967
30522,030522,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,STATE,STATE,East Aleutians Shellfish 1967
30553,030553,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,MIXED-STATE,STATE,West Aleutians Shellfish 1972
31110,031110,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,MIXED-STATE,STATE,East Aleutians Shellfish 1967
31210,031210,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,STATE,STATE,East Aleutians Shellfish 1967
34929,034929,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,Alaska Peninsula Shellfish 1982
34930,034930,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,Alaska Peninsula Shellfish 1982
34950,034950,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,Alaska Peninsula Shellfish 1982
34989,034989,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,Alaska Peninsula Shellfish 1982
35026,035026,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,MIXED-FED,FED,East Aleutians Shellfish 1967
35035,035035,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,S Bering Sea Shellfish 1982
35051,035051,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,S Bering Sea Shellfish 1982
35061,035061,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,MIXED-FED,FED,S Bering Sea Shellfish 1982
35127,035127,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,East Aleutians Shellfish 1967
35134,035134,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,East Aleutians Shellfish 1967
35135,035135,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,East Aleutians Shellfish 1967
35151,035151,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,East Aleutians Shellfish 1967
35161,035161,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,MIXED-FED,FED,East Aleutians Shellfish 1967
35330,035330,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,STATE,STATE,East Aleutians Shellfish 1967
36211,036211,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,East Aleutians Shellfish 1967
36216,036216,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,East Aleutians Shellfish 1967
36276,036276,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,East Aleutians Shellfish 1967
36281,036281,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,East Aleutians Shellfish 1967
36286,036286,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,East Aleutians Shellfish 1967
36425,036425,NA,1969-01-01T09:00:00Z,1984-12-31T09:00:00Z,NA,FED,FED,East Aleutians Shellfish 1967
355300,355300,INTL,1985-01-01T09:00:00Z,NA,NA,INTL,INTL,Dixon Entrance- Not on stat charts
445932,445932,STATE,1985-01-01T09:00:00Z,NA,PWSE,STATE,STATE,PWS Eastern Outer Coast State Waters
446002,446002,STATE,1985-01-01T09:00:00Z,NA,PWSE,STATE,STATE,PWS Eastern Outer Coast State Waters
456002,456002,STATE,1985-01-01T09:00:00Z,NA,PWSE,STATE,STATE,PWS Eastern Outer Coast State Waters
456003,456003,STATE,1985-01-01T09:00:00Z,NA,PWSE,STATE,STATE,PWS Eastern Outer Coast State Waters
456031,456031,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Eastern Outer Coast State Waters
465902,465902,STATE,1985-01-01T09:00:00Z,NA,PWSE,STATE,STATE,PWS Eastern Outer Coast State Waters
465903,465903,STATE,1985-01-01T09:00:00Z,NA,PWSE,STATE,STATE,PWS Eastern Outer Coast State Waters
465931,465931,STATE,1985-01-01T09:00:00Z,NA,PWSE,STATE,STATE,PWS Eastern Outer Coast State Waters
466002,466002,STATE,1985-01-01T09:00:00Z,NA,PWSE,STATE,STATE,PWS Eastern Outer Coast State Waters
466003,466003,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
466004,466004,STATE,1985-01-01T09:00:00Z,NA,PWSE,STATE,STATE,PWS Eastern Outer Coast State Waters
466005,466005,STATE,1985-01-01T09:00:00Z,NA,PWSE,STATE,STATE,PWS Eastern Outer Coast State Waters
466031,466031,STATE,1984-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
466032,466032,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
466033,466033,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
466100,466100,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
475932,475932,STATE,1985-01-01T09:00:00Z,NA,PWSW,STATE,STATE,PWS Western Outer Coast State Waters
475933,475933,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
475934,475934,STATE,1985-01-01T09:00:00Z,NA,PWSW,STATE,STATE,PWS Western Outer Coast State Waters
476002,476002,STATE,1985-01-01T09:00:00Z,NA,PWSW,STATE,STATE,PWS Western Outer Coast State Waters
476003,476003,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
476004,476004,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
476005,476005,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
476006,476006,STATE,1984-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
476007,476007,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
476008,476008,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
476009,476009,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
476031,476031,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
476032,476032,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
476033,476033,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
476034,476034,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
476035,476035,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
476036,476036,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
476101,476101,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
485932,485932,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
485935,485935,STATE,1985-01-01T09:00:00Z,NA,PWSW,STATE,STATE,PWS Western Outer Coast State Waters
486001,486001,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
486003,486003,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
486004,486004,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
486005,486005,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
486031,486031,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
486032,486032,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
486033,486033,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
486034,486034,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
486100,486100,STATE,1985-01-01T09:00:00Z,NA,PWSI,STATE,STATE,PWS Internal Waters
999998,999998,NA,2000-01-01T09:00:00Z,NA,NA,UNKNOWN,UNKNOWN,
999999,999999,NA,1969-01-01T09:00:00Z,NA,NA,UNKNOWN,UNKNOWN,
