YEAR,Mgt_area,GEAR_CODE,WHOLE_POUNDS
1975,PWS,HAL,0
1975,PWS,POT,0
1975,PWS,TRW,0
1975,PWS,JIG,0
1975,PWS,TRL,0
1975,PWS,GNT,0
1975,PWS,UNK,0
1975,NSEI,HAL,945337
1975,NSEI,POT,38265
1975,NSEI,TRW,199
1975,NSEI,JIG,0
1975,NSEI,TRL,378
1975,NSEI,GNT,0
1975,NSEI,UNK,0
1975,SSEI,HAL,47291
1975,SSEI,POT,514921
1975,SSEI,TRW,0
1975,SSEI,JIG,0
1975,SSEI,TRL,367
1975,SSEI,GNT,0
1975,SSEI,UNK,0
1975,LOWCI,HAL,192
1975,LOWCI,POT,0
1975,LOWCI,TRW,0
1975,LOWCI,JIG,0
1975,LOWCI,TRL,0
1975,LOWCI,GNT,0
1975,LOWCI,UNK,0
1976,PWS,HAL,0
1976,PWS,POT,0
1976,PWS,TRW,0
1976,PWS,JIG,0
1976,PWS,TRL,0
1976,PWS,GNT,0
1976,PWS,UNK,0
1976,NSEI,HAL,969465
1976,NSEI,POT,782
1976,NSEI,TRW,0
1976,NSEI,JIG,0
1976,NSEI,TRL,66
1976,NSEI,GNT,0
1976,NSEI,UNK,0
1976,SSEI,HAL,56882
1976,SSEI,POT,59173
1976,SSEI,TRW,0
1976,SSEI,JIG,0
1976,SSEI,TRL,79
1976,SSEI,GNT,0
1976,SSEI,UNK,0
1976,LOWCI,HAL,0
1976,LOWCI,POT,0
1976,LOWCI,TRW,0
1976,LOWCI,JIG,0
1976,LOWCI,TRL,0
1976,LOWCI,GNT,0
1976,LOWCI,UNK,0
1977,PWS,HAL,0
1977,PWS,POT,0
1977,PWS,TRW,0
1977,PWS,JIG,0
1977,PWS,TRL,0
1977,PWS,GNT,0
1977,PWS,UNK,0
1977,NSEI,HAL,558843
1977,NSEI,POT,0
1977,NSEI,TRW,0
1977,NSEI,JIG,0
1977,NSEI,TRL,188
1977,NSEI,GNT,0
1977,NSEI,UNK,0
1977,SSEI,HAL,43758
1977,SSEI,POT,34894
1977,SSEI,TRW,0
1977,SSEI,JIG,0
1977,SSEI,TRL,0
1977,SSEI,GNT,0
1977,SSEI,UNK,0
1977,LOWCI,HAL,0
1977,LOWCI,POT,0
1977,LOWCI,TRW,0
1977,LOWCI,JIG,0
1977,LOWCI,TRL,0
1977,LOWCI,GNT,0
1977,LOWCI,UNK,0
1978,PWS,HAL,340
1978,PWS,POT,0
1978,PWS,TRW,0
1978,PWS,JIG,0
1978,PWS,TRL,0
1978,PWS,GNT,0
1978,PWS,UNK,155
1978,NSEI,HAL,788476
1978,NSEI,POT,0
1978,NSEI,TRW,0
1978,NSEI,JIG,0
1978,NSEI,TRL,47
1978,NSEI,GNT,0
1978,NSEI,UNK,0
1978,SSEI,HAL,64272
1978,SSEI,POT,149785
1978,SSEI,TRW,0
1978,SSEI,JIG,0
1978,SSEI,TRL,72
1978,SSEI,GNT,0
1978,SSEI,UNK,0
1978,LOWCI,HAL,36
1978,LOWCI,POT,0
1978,LOWCI,TRW,0
1978,LOWCI,JIG,0
1978,LOWCI,TRL,0
1978,LOWCI,GNT,0
1978,LOWCI,UNK,0
1979,PWS,HAL,1033
1979,PWS,POT,0
1979,PWS,TRW,995
1979,PWS,JIG,0
1979,PWS,TRL,0
1979,PWS,GNT,0
1979,PWS,UNK,0
1979,NSEI,HAL,1185781
1979,NSEI,POT,4505
1979,NSEI,TRW,0
1979,NSEI,JIG,0
1979,NSEI,TRL,70
1979,NSEI,GNT,0
1979,NSEI,UNK,0
1979,SSEI,HAL,169414
1979,SSEI,POT,33278
1979,SSEI,TRW,22282
1979,SSEI,JIG,0
1979,SSEI,TRL,286
1979,SSEI,GNT,0
1979,SSEI,UNK,0
1979,LOWCI,HAL,363
1979,LOWCI,POT,0
1979,LOWCI,TRW,380
1979,LOWCI,JIG,0
1979,LOWCI,TRL,0
1979,LOWCI,GNT,0
1979,LOWCI,UNK,0
1980,PWS,HAL,18546
1980,PWS,POT,0
1980,PWS,TRW,0
1980,PWS,JIG,0
1980,PWS,TRL,0
1980,PWS,GNT,0
1980,PWS,UNK,0
1980,NSEI,HAL,881391
1980,NSEI,POT,0
1980,NSEI,TRW,0
1980,NSEI,JIG,0
1980,NSEI,TRL,0
1980,NSEI,GNT,0
1980,NSEI,UNK,78
1980,SSEI,HAL,35846
1980,SSEI,POT,8287
1980,SSEI,TRW,0
1980,SSEI,JIG,195
1980,SSEI,TRL,0
1980,SSEI,GNT,0
1980,SSEI,UNK,0
1980,LOWCI,HAL,0
1980,LOWCI,POT,0
1980,LOWCI,TRW,0
1980,LOWCI,JIG,0
1980,LOWCI,TRL,0
1980,LOWCI,GNT,0
1980,LOWCI,UNK,0
1981,PWS,HAL,1452
1981,PWS,POT,0
1981,PWS,TRW,0
1981,PWS,JIG,0
1981,PWS,TRL,0
1981,PWS,GNT,0
1981,PWS,UNK,0
1981,NSEI,HAL,710108
1981,NSEI,POT,14
1981,NSEI,TRW,0
1981,NSEI,JIG,0
1981,NSEI,TRL,16
1981,NSEI,GNT,9
1981,NSEI,UNK,0
1981,SSEI,HAL,14100
1981,SSEI,POT,39432
1981,SSEI,TRW,0
1981,SSEI,JIG,0
1981,SSEI,TRL,0
1981,SSEI,GNT,0
1981,SSEI,UNK,0
1981,LOWCI,HAL,0
1981,LOWCI,POT,0
1981,LOWCI,TRW,0
1981,LOWCI,JIG,0
1981,LOWCI,TRL,0
1981,LOWCI,GNT,0
1981,LOWCI,UNK,0
1982,PWS,HAL,5014
1982,PWS,POT,0
1982,PWS,TRW,0
1982,PWS,JIG,0
1982,PWS,TRL,0
1982,PWS,GNT,0
1982,PWS,UNK,0
1982,NSEI,HAL,804004
1982,NSEI,POT,0
1982,NSEI,TRW,0
1982,NSEI,JIG,0
1982,NSEI,TRL,0
1982,NSEI,GNT,0
1982,NSEI,UNK,0
1982,SSEI,HAL,184857
1982,SSEI,POT,94334
1982,SSEI,TRW,0
1982,SSEI,JIG,0
1982,SSEI,TRL,0
1982,SSEI,GNT,39
1982,SSEI,UNK,0
1982,LOWCI,HAL,0
1982,LOWCI,POT,0
1982,LOWCI,TRW,0
1982,LOWCI,JIG,0
1982,LOWCI,TRL,0
1982,LOWCI,GNT,0
1982,LOWCI,UNK,0
1983,PWS,HAL,13432
1983,PWS,POT,0
1983,PWS,TRW,0
1983,PWS,JIG,0
1983,PWS,TRL,0
1983,PWS,GNT,0
1983,PWS,UNK,0
1983,NSEI,HAL,1165857
1983,NSEI,POT,0
1983,NSEI,TRW,0
1983,NSEI,JIG,0
1983,NSEI,TRL,14
1983,NSEI,GNT,0
1983,NSEI,UNK,0
1983,SSEI,HAL,70880
1983,SSEI,POT,483
1983,SSEI,TRW,0
1983,SSEI,JIG,0
1983,SSEI,TRL,0
1983,SSEI,GNT,0
1983,SSEI,UNK,0
1983,LOWCI,HAL,326
1983,LOWCI,POT,0
1983,LOWCI,TRW,0
1983,LOWCI,JIG,0
1983,LOWCI,TRL,315
1983,LOWCI,GNT,0
1983,LOWCI,UNK,0
1984,PWS,HAL,203084
1984,PWS,POT,3220
1984,PWS,TRW,0
1984,PWS,JIG,0
1984,PWS,TRL,0
1984,PWS,GNT,0
1984,PWS,UNK,0
1984,NSEI,HAL,1328827
1984,NSEI,POT,0
1984,NSEI,TRW,0
1984,NSEI,JIG,0
1984,NSEI,TRL,245
1984,NSEI,GNT,0
1984,NSEI,UNK,0
1984,SSEI,HAL,137807
1984,SSEI,POT,62776
1984,SSEI,TRW,0
1984,SSEI,JIG,0
1984,SSEI,TRL,0
1984,SSEI,GNT,0
1984,SSEI,UNK,0
1984,LOWCI,HAL,3056
1984,LOWCI,POT,0
1984,LOWCI,TRW,0
1984,LOWCI,JIG,0
1984,LOWCI,TRL,0
1984,LOWCI,GNT,0
1984,LOWCI,UNK,0
1985,PWS,HAL,480621
1985,PWS,POT,26177
1985,PWS,TRW,103
1985,PWS,JIG,0
1985,PWS,TRL,0
1985,PWS,GNT,0
1985,PWS,UNK,0
1985,NSEI,HAL,3091680
1985,NSEI,POT,0
1985,NSEI,TRW,0
1985,NSEI,JIG,0
1985,NSEI,TRL,0
1985,NSEI,GNT,0
1985,NSEI,UNK,5982
1985,SSEI,HAL,578788
1985,SSEI,POT,36751
1985,SSEI,TRW,3934
