description,Source,Gear,Mgmt_area,Sex,year,age,n,proportion
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,3,1,8e-4
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,4,5,0.0039
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,5,14,0.011
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,6,24,0.0188
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,7,56,0.0438
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,8,64,0.0501
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,9,75,0.0587
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,10,69,0.054
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,11,53,0.0415
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,12,48,0.0376
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,13,56,0.0438
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,14,25,0.0196
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,15,25,0.0196
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,16,17,0.0133
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,17,43,0.0336
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,18,21,0.0164
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,19,24,0.0188
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,20,19,0.0149
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,21,14,0.011
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,22,13,0.0102
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,23,31,0.0243
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,24,23,0.018
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,25,27,0.0211
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,26,20,0.0156
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,27,20,0.0156
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,28,20,0.0156
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,29,14,0.011
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,30,8,0.0063
propmatureby_gear_source_area_sex_age,Fishery,Longline,NSEI,Female,2002,31,8,0.0063
