description,Source,Gear,Mgmt_area,Sex,year,age,n,proportion
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,2,1,8e-4
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,3,3,0.0024
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,4,16,0.0126
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,5,48,0.0379
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,6,89,0.0702
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,7,120,0.0947
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,8,118,0.0931
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,9,125,0.0987
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,10,95,0.075
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,11,69,0.0545
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,12,60,0.0474
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,13,64,0.0505
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,14,30,0.0237
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,15,28,0.0221
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,16,17,0.0134
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,17,46,0.0363
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,18,23,0.0182
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,19,24,0.0189
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,20,19,0.015
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,21,14,0.011
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,22,13,0.0103
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,23,31,0.0245
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,24,23,0.0182
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,25,27,0.0213
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,26,20,0.0158
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,27,22,0.0174
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,28,20,0.0158
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,29,15,0.0118
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,30,8,0.0063
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,31,8,0.0063
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,32,7,0.0055
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,33,8,0.0063
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,34,10,0.0079
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,35,7,0.0055
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,36,3,0.0024
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,37,2,0.0016
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,38,4,0.0032
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,39,2,0.0016
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,40,3,0.0024
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,41,1,8e-4
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2002,42,24,0.0189
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,3,3,0.0029
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,4,10,0.0097
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,5,74,0.0721
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,6,100,0.0974
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,7,169,0.1646
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,8,139,0.1353
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,9,98,0.0954
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,10,60,0.0584
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,11,49,0.0477
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,12,22,0.0214
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,13,22,0.0214
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,14,18,0.0175
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,15,6,0.0058
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,16,15,0.0146
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,17,9,0.0088
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,18,12,0.0117
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,19,16,0.0156
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,20,13,0.0127
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,21,18,0.0175
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,22,16,0.0156
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,23,10,0.0097
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,24,12,0.0117
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,25,10,0.0097
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,26,12,0.0117
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,27,18,0.0175
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,28,17,0.0166
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,29,13,0.0127
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,30,3,0.0029
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,31,8,0.0078
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,32,5,0.0049
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,33,4,0.0039
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,34,6,0.0058
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,35,3,0.0029
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,36,5,0.0049
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,37,4,0.0039
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,38,4,0.0039
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,39,3,0.0029
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,40,3,0.0029
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,41,1,0.001
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2003,42,17,0.0166
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,3,1,6e-4
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,4,29,0.0188
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,5,54,0.035
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,6,183,0.1186
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,7,177,0.1147
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,8,214,0.1387
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,9,163,0.1056
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,10,104,0.0674
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,11,74,0.048
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,12,43,0.0279
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,13,24,0.0156
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,14,28,0.0181
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,15,12,0.0078
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,16,20,0.013
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,17,13,0.0084
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,18,14,0.0091
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,19,12,0.0078
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,20,19,0.0123
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,21,27,0.0175
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,22,25,0.0162
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,23,21,0.0136
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,24,23,0.0149
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,25,17,0.011
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,26,24,0.0156
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,27,16,0.0104
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,28,29,0.0188
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,29,21,0.0136
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,30,14,0.0091
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,31,16,0.0104
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,32,9,0.0058
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,33,15,0.0097
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,34,10,0.0065
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,35,11,0.0071
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,36,7,0.0045
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,37,6,0.0039
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,38,7,0.0045
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,39,6,0.0039
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,40,7,0.0045
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,41,7,0.0045
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2004,42,41,0.0266
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,2,2,0.0016
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,3,1,8e-4
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,4,11,0.0088
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,5,46,0.0369
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,6,85,0.0682
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,7,146,0.1172
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,8,110,0.0883
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,9,139,0.1116
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,10,104,0.0835
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,11,68,0.0546
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,12,47,0.0377
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,13,31,0.0249
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,14,24,0.0193
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,15,21,0.0169
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,16,18,0.0144
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,17,19,0.0152
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,18,11,0.0088
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,19,19,0.0152
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,20,11,0.0088
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,21,14,0.0112
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,22,19,0.0152
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,23,21,0.0169
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,24,19,0.0152
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,25,20,0.0161
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,26,17,0.0136
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,27,19,0.0152
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,28,19,0.0152
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,29,21,0.0169
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,30,23,0.0185
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,31,14,0.0112
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,32,23,0.0185
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,33,7,0.0056
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,34,13,0.0104
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,35,9,0.0072
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,36,11,0.0088
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,37,10,0.008
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,38,5,0.004
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,39,6,0.0048
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,40,3,0.0024
agecompby_gear_source_area_sex,Fishery,Longline,NSEI,Female,2005,41,2,0.0016
