description,Gear,Source,Mgmt_area,Sex,year,age,mean_weight,sd_weight,n
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2002,33,5.2,1.4,8
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2002,34,5.9,1.8,10
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2002,35,6.1,0.6,6
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2002,36,5.5,0.1,2
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2002,37,9.9,7.2,2
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2002,38,5.7,1.1,4
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2002,39,6.4,2.8,2
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2002,40,6.3,2.2,3
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2002,41,7.9,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2002,42,7.2,2,3
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2002,43,9,3.5,3
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2002,45,5.8,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2002,46,8.2,1.2,8
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2002,48,14.2,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2002,50,9.4,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2002,51,6.5,1.3,2
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2002,55,9.8,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2002,57,8.5,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2002,60,6,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2002,63,11.2,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2002,68,3.9,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,3,3.1,1.7,3
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,4,2.7,0.9,10
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,5,3.2,1,74
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,6,3.3,0.9,100
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,7,3.6,1,164
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,8,3.6,0.8,137
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,9,3.5,0.9,97
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,10,3.9,0.9,59
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,11,4,1.1,49
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,12,3.9,1.1,22
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,13,4.2,1.1,22
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,14,4.6,1.4,18
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,15,4.1,1,6
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,16,4.8,1.1,14
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,17,5.7,1.4,9
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,18,5.3,1.1,12
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,19,5.9,1.5,16
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,20,5.8,1.3,13
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,21,5.5,1.3,18
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,22,5.1,1.1,16
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,23,5.3,0.9,10
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,24,5,0.8,12
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,25,6.2,1.4,10
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,26,5.6,0.9,12
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,27,6.4,2.2,18
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,28,5.8,1.4,17
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,29,7.1,2.1,13
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,30,7.1,2.5,3
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,31,5.4,0.9,8
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,32,5.9,1.1,5
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,33,8.7,2.6,4
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,34,5.6,0.8,6
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,35,7.2,0.9,3
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,36,6.6,1.7,5
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,37,7,1.4,4
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,38,4.9,2.1,4
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,39,7.7,1.5,3
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,40,7.8,2.7,3
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,41,9.8,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,42,8.1,0.9,2
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,43,7,2.5,2
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,44,6.1,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,47,5.9,1.8,2
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,48,8,3.4,2
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,49,6.6,5.1,2
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,52,7.1,3,2
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,60,11,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,63,8.9,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,72,7,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2003,73,7.9,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2004,3,1.6,NaN,1
